unitid,chronname,city,state,level,control,basic,hbcu,flagship,long_x,lat_y,site,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,exp_award_percentile,ft_pct,fte_value,fte_percentile,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,grad_100_value,grad_100_percentile,grad_150_value,grad_150_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,similar,state_sector_ct,carnegie_ct,counted_pct,nicknames,cohort_size
100654,Alabama A&M University,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,X,NULL,-86.568502,34.783368,www.aamu.edu/,4051,14.2,18.8,21.5,105331,75743,66436,90,93.8,3906,33,823,0,7142,72,NULL,NULL,10,15,29.1,14,71.2,98,63.1,17,82.8,89,2010,14.7,2,36.5,16.1,33,5.3,12.5,14.6,15.7,1.5,40.9,17.2,36.4,5.6,17.2,11.1,232937|100724|405997|113607|139533|144005|228501|101480|131876|144759|419509|176479|243197|228529|372222|228431|206695|139366|159993|224147,13,386,99.7|07,NULL,882
100663,University of Alabama at Birmingham,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,NULL,NULL,-86.80917,33.50223,www.uab.edu,11502,20.9,18.8,21.5,136546,75743,66436,97,72.7,10032,67,1146,84,6088,50,24136,93,29.4,67,53.5,66,35.1,39,80.2,70,92.4,98,2011,22.3,2.9,34.2,19.2,42.6,10.5,7.9,13.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196060|180461|201885|145600|209542|236939|126818|230764|104151|104179|157085|171100|153603|141574|155317|110714|137351|126562|243780|196088,13,106,56.0|07,UAB,1376
100690,Amridge University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,NULL,NULL,-86.17401,32.362609,www.amridgeuniversity.edu,322,29.9,17.8,22.5,58414,92268,101725,30,62.7,294,12,NULL,NULL,2540,1,302,1,0,0,66.7,72,68.4,91,37.5,2,67.2,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217925|441511|205124|247825|197647|221856|135364|117575|164207|193070|199315|166054|367893|183804|439701|193052|197744|193247|137777|176789,16,252,100.0|07,NULL,3
100706,University of Alabama at Huntsville,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,NULL,NULL,-86.63842,34.722818,www.uah.edu,5696,20.9,18.8,21.5,64418,75743,66436,61,74.4,5000,40,1180,89,6647,63,11502,81,16.5,34,48.4,54,32.8,32,81,72,65.5,56,2010,12.8,4.7,42.8,18.3,43,14.5,10.2,11.7,0,0,0,0,0,0,0,0,232186|133881|196103|196413|207388|171128|190044|178402|185828|202480|183044|132903|163268|223232|157289|100858|216339|230728|165334|204024,13,106,43.1|07,UAH,759
100724,Alabama State University,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,X,NULL,-86.295677,32.364317,www.alasu.edu/email/index.aspx,5356,11.6,18.8,21.5,132407,75743,66436,96,91,5035,41,830,1,7256,74,13202,84,8.8,11,25.2,9,82.7,100,62.2,15,67,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100654|232937|242617|243197|144005|241739|235422|243601|113607|405997|139533|190114|228501|131876|101480|144759|419509|176479|228529|372222,13,386,88.0|07,ASU,1351
100751,University of Alabama at Tuscaloosa,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,NULL,X,-87.545766,33.2144,www.ua.edu/,29440,18.3,18.8,21.5,75350,75743,66436,75,90.2,27148,96,1171,88,10390,94,19469,90,42.7,86,66.7,85,21.1,7,87,87,69.5,64,2008,4.1,1.3,67.8,13.2,60.6,8,9.9,8,45.8,5.2,23,7.9,61.5,8.5,6.3,5.5,183044|209551|240727|207388|178402|185828|238032|100706|157289|232186|216339|230728|161253|131283|229115|133951|106397|176017|231174|207500,13,96,75.9|07,NULL,4438
100760,Central Alabama Community College,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-85.94653,32.924429,www.cacc.edu,1906,15.9,15.9,16.5,57572,42194,37780,83,50,1489,21,NULL,NULL,5057,82,229,22,7.7,39,9.1,8,65.1,93,42.7,5,38.3,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217712|227225|198491|175935|107460|206923|240745|107637|170587|238014|141158|199892|140483|176169|139357|151014|218520|207740|140599|207236,25,289,66.7|10,NULL,594
100830,Auburn University at Montgomery,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,NULL,NULL,-86.177351,32.369939,www.aum.edu,4322,15.4,18.8,21.5,58541,75743,66436,51,69.4,3571,30,970,26,4327,10,10736,79,9.9,15,27.1,12,40.1,56,63.2,17,60.1,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229814|210429|160038|176965|169798|207263|102368|207041|212115|141644|235097|162584|211361|213349|141334|139199|168290|187444|183080|183026,13,386,43.8|07,AUM,536
100858,Auburn University,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,NULL,NULL,-85.492409,32.600201,www.auburn.edu,19799,21.5,18.8,21.5,71999,75743,66436,71,91,19635,87,1215,93,8875,88,22092,92,37.6,80,67.9,87,16.9,3,89.5,92,88.7,96,2010,35.5,3.1,39.7,12.1,66.4,9.6,5,7.6,64.2,6.3,11.6,7.6,72.2,9.7,2,4.6,223232|204024|163268|165334|132903|171128|196103|239105|231174|106397|190044|202480|207500|212054|146719|196413|127060|217882|194541|228787,13,96,75.5|07,NULL,4165
100937,Birmingham-Southern College,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,NULL,NULL,-86.853636,33.515453,www.bsc.edu/,1188,23.5,17.8,22.5,113677,92268,101725,75,98.2,1331,47,1177,81,20385,80,37598,70,53.2,67,61.9,64,21.4,16,80.4,65,71.7,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174747|153144|143084|152390|168591|199111|140696|165936|125727|199865|169080|153834|204909|179955|173300|168546|206525|157818|174792|152673,16,252,88.9|07,BSC,449
