unitid,Other,Female,Male,Asian,American Indian,Black,Hispanic,White,Unknown
100654,144,144,144,72,72,72,72,72,72
100663,144,144,144,72,72,72,72,72,72
100690,144,144,144,72,72,72,72,72,72
100706,144,144,144,72,72,72,72,72,72
100724,144,144,144,72,72,72,72,72,72
100751,144,144,144,72,72,72,72,72,72
100760,72,72,72,36,36,36,36,36,36
100830,144,144,144,72,72,72,72,72,72
100858,144,144,144,72,72,72,72,72,72
100937,144,144,144,72,72,72,72,72,72
101028,72,72,72,36,36,36,36,36,36
101073,144,144,144,72,72,72,72,72,72
101116,144,144,144,72,72,72,72,72,72
101143,72,72,72,36,36,36,36,36,36
101161,72,72,72,36,36,36,36,36,36
101189,144,144,144,72,72,72,72,72,72
101240,72,72,72,36,36,36,36,36,36
101286,72,72,72,36,36,36,36,36,36
101295,72,72,72,36,36,36,36,36,36
101301,72,72,72,36,36,36,36,36,36
101365,144,144,144,72,72,72,72,72,72
101435,144,144,144,72,72,72,72,72,72
101462,72,72,72,36,36,36,36,36,36
101471,54,54,54,27,27,27,27,27,27
101480,144,144,144,72,72,72,72,72,72
101499,72,72,72,36,36,36,36,36,36
101505,72,72,72,36,36,36,36,36,36
101514,72,72,72,36,36,36,36,36,36
101541,144,144,144,72,72,72,72,72,72
101569,72,72,72,36,36,36,36,36,36
101587,144,144,144,72,72,72,72,72,72
101602,72,72,72,36,36,36,36,36,36
101648,72,72,72,36,36,36,36,36,36
101675,144,144,144,72,72,72,72,72,72
101693,144,144,144,72,72,72,72,72,72
101709,144,144,144,72,72,72,72,72,72
101736,72,72,72,36,36,36,36,36,36
101879,144,144,144,72,72,72,72,72,72
101897,72,72,72,36,36,36,36,36,36
101912,144,144,144,72,72,72,72,72,72
101949,72,72,72,36,36,36,36,36,36
101958,18,18,18,9,9,9,9,9,9
101994,72,72,72,36,36,36,36,36,36
102030,72,72,72,36,36,36,36,36,36
102049,144,144,144,72,72,72,72,72,72
102058,36,36,36,18,18,18,18,18,18
102067,72,72,72,36,36,36,36,36,36
102076,72,72,72,36,36,36,36,36,36
102094,144,144,144,72,72,72,72,72,72
102234,144,144,144,72,72,72,72,72,72
102261,144,144,144,72,72,72,72,72,72
102270,144,144,144,72,72,72,72,72,72
102298,144,144,144,72,72,72,72,72,72
102313,72,72,72,36,36,36,36,36,36
102368,144,144,144,72,72,72,72,72,72
102377,144,144,144,72,72,72,72,72,72
102429,72,72,72,36,36,36,36,36,36
102553,144,144,144,72,72,72,72,72,72
102614,144,144,144,72,72,72,72,72,72
102632,144,144,144,72,72,72,72,72,72
102669,144,144,144,72,72,72,72,72,72
102845,144,144,144,72,72,72,72,72,72
103361,72,72,72,36,36,36,36,36,36
103644,144,144,144,72,72,72,72,72,72
103723,108,108,108,54,54,54,54,54,54
103893,90,90,90,45,45,45,45,45,45
103909,72,72,72,36,36,36,36,36,36
103927,72,72,72,36,36,36,36,36,36
103945,144,144,144,72,72,72,72,72,72
104090,144,144,144,72,72,72,72,72,72
104151,144,144,144,72,72,72,72,72,72
104160,72,72,72,36,36,36,36,36,36
104179,144,144,144,72,72,72,72,72,72
104188,144,144,144,72,72,72,72,72,72
104346,72,72,72,36,36,36,36,36,36
104364,144,144,144,72,72,72,72,72,72
104425,72,72,72,36,36,36,36,36,36
104531,108,108,108,54,54,54,54,54,54
104577,72,72,72,36,36,36,36,36,36
104586,144,144,144,72,72,72,72,72,72
104708,72,72,72,36,36,36,36,36,36
104717,144,144,144,72,72,72,72,72,72
104805,144,144,144,72,72,72,72,72,72
104984,54,54,54,27,27,27,27,27,27
105118,72,72,72,36,36,36,36,36,36
105145,72,72,72,36,36,36,36,36,36
105154,72,72,72,36,36,36,36,36,36
105163,144,144,144,72,72,72,72,72,72
105172,144,144,144,72,72,72,72,72,72
105206,72,72,72,36,36,36,36,36,36
105297,144,144,144,72,72,72,72,72,72
105330,144,144,144,72,72,72,72,72,72
105349,72,72,72,36,36,36,36,36,36
105428,72,72,72,36,36,36,36,36,36
105516,144,144,144,72,72,72,72,72,72
105525,72,72,72,36,36,36,36,36,36
105534,144,144,144,72,72,72,72,72,72
105543,72,72,72,36,36,36,36,36,36
105589,144,144,144,72,72,72,72,72,72
105659,72,72,72,36,36,36,36,36,36
105668,72,72,72,36,36,36,36,36,36
105747,72,72,72,36,36,36,36,36,36
105792,72,72,72,36,36,36,36,36,36
105899,144,144,144,72,72,72,72,72,72
106041,72,72,72,36,36,36,36,36,36
106102,144,144,144,72,72,72,72,72,72
106148,72,72,72,36,36,36,36,36,36
106245,144,144,144,72,72,72,72,72,72
106306,144,144,144,72,72,72,72,72,72
106342,144,144,144,72,72,72,72,72,72
106397,144,144,144,72,72,72,72,72,72
106412,144,144,144,72,72,72,72,72,72
106449,72,72,72,36,36,36,36,36,36
106458,144,144,144,72,72,72,72,72,72
106467,144,144,144,72,72,72,72,72,72
106485,144,144,144,72,72,72,72,72,72
106625,72,72,72,36,36,36,36,36,36
106704,144,144,144,72,72,72,72,72,72
106713,144,144,144,72,72,72,72,72,72
106795,72,72,72,36,36,36,36,36,36
